,Datum,Result
143,27. März,"['Montag faßte ich auf der Gasse einen Jungen, der mit andern ein wehrlos vor ihnen gehendes Dienstmädchen mit einem großen Ball bewarf, gerade als dem Mädchen der Ball gegen den Hintern flog, beim Hals, würgte ihn in großer Wut, stieß ihn beiseite und schimpfte.']"
144,28. März,"['Aus dem Vortrag der Frau Fanta ›Berliner Eindrücke‹: Grillparzer wollte einmal nicht in eine Gesellschaft gehn, weil er wußte, daß auch Hebbel, mit dem er befreundet war, dort sein würde.']"
145,29. März,"['Die Freude am Badezimmer.', '– Allmähliches Erkennen.', 'Die Nachmittage, die ich mit den Haaren verbrachte.']"
146,1. April,"['Zum erstenmal seit einer Woche ein fast vollständiges Mißlingen im Schreiben.', 'Warum?', 'Ich habe auch vorige Woche verschiedene Stimmungen durchgemacht und das Schreiben vor ihrem Einfluß bewahrt; aber ich fürchte mich, darüber zu schreiben.']"
147,3. April,"['So ist ein Tag vorüber – Vormittag Bureau, Nachmittag Fabrik, jetzt abends Geschrei in der Wohnung rechts und links, später die Schwester von ›Hamlet‹ abholen – und ich habe mit keinem Augenblick etwas anzufangen verstanden.']"
148,8. April,"['Karsamstag, Vollständiges Erkennen seiner selbst.', 'Den Umfang seiner Fähigkeiten umfassen können wie einen kleinen Ball.', 'Den größten Niedergang als etwas Bekanntes hinnehmen und so darin noch elastisch bleiben.', 'Verlangen nach einem tiefen Schlaf, der mehr auflöst.']"
149,6. Mai,"['elf Uhr.Zum erstenmal seit einiger Zeit vollständiges Mißlingen beim Schreiben.', 'Das Gefühl eines geprüften Mannes.', 'Traum vor kurzem: Ich fuhr mit meinem Vater durch Berlin in der Elektrischen.']"
150,9. Mai,"['Gestern abend mit Pick im Kaffeehaus.', 'Wie ich mich gegen alle Unruhe an meinem RomanKafka arbeitete damals an seinem Roman ›Der Verschollene‹ (endgültiger Titel ›Amerika‹).festhalte, ganz wie eine Denkmalsfigur, die in die Ferne schaut und sich am Block festhält.']"
151,22. Mai,"['Gestern wunderschöner Abend mit Max.', 'Wenn ich mich liebe, liebe ich ihn noch stärker.', '›Lucerna‹.', '›Madame la Mort‹ von Rachilde.', ""›Traum eines Frühlingsmorgens.‹Drama von d'Annunzio.Die lustige Dicke in der Loge.""]"
152,23. Mai,['Gestern: hinter uns fiel ein Mann vor Langeweile vom Sessel.']
153,25. Mai,"['Schwaches Tempo, wenig Blut.']"
154,27. Mai,"['Gestern Pfingstsonntag, kaltes Wetter, nicht schöner Ausflug mit Max und Weltsch, abends Kaffeehaus, Werfel gibt mir ›Besuch aus dem Elysium‹.']"
155,1. Juni,['Nichts geschrieben.']
156,2. Juni,"['Fast nichts geschrieben.', 'Gestern Vortrag Dr. Soukup im Repräsentationshaus über Amerika.', '(Die Tschechen in Nebraska, alle Beamten in Amerika werden gewählt, jeder muß einer der drei Parteien – republikanisch, demokratisch, sozialistisch – angehören.']"
157,6. Juni,"['Donnerstag.', 'Fronleichnam.']"
158,9. Mai,"['eingetragen habe.', 'Gewichtlos, knochenlos, körperlos zwei Stunden lang durch die Gassen gegangen und überlegt, was ich nachmittag beim Schreiben überstanden habe.']"
159,7. Juni,"['Arg.', 'Heute nichts geschrieben.', 'Morgen keine Zeit.', 'Montag,']"
160,6. Juli,['In die Zeit vor dieser Eintragung fällt der Beginn der Ferienreise nach Weimar und in den Harz (']
161,28. Juni,['bis']
162,29. Juli,"[').Ein wenig angefangen.', 'Bin ein wenig verschlafen.', 'Auch verlassen unter diesen ganz fremden Menschen.']"
163,9. Juli,"['So lange nichts geschrieben.', 'Morgen anfangen.', 'Ich komme sonst wieder in eine sich ausdehnende unaufhaltsame Unzufriedenheit; ich bin schon eigentlich drin.', 'Die Nervositäten fangen an.', 'Aber wenn ich etwas kann, dann kann ich es ohne abergläubische Vorsichtsmaßregeln.']"
164,7. August,['Lange Plage.']
165,8. August,"['›Bauernfänger‹ zur beiläufigen Zufriedenheit fertig gemacht.', 'Mit der letzten Kraft eines normalen Geisteszustandes.', 'Zwölf Uhr, wie werde ich schlafen können?']"
166,9. August,"['Die aufgeregte Nacht.', '– Gestern das Dienstmädchen, das zu dem kleinen Jungen auf der Treppe sagte: »Halt dich an meine Röcke!« Mein aus Eingebungen fließendes Vorlesen des ›Armen Spielmann‹.', '– Die Erkenntnis des Männlichen an Grillparzer in dieser Geschichte.']"
167,10. August,"['Nichts geschrieben.', 'In der Fabrik gewesen und im Motorraum zwei Stunden lang Gas eingeatmet.', 'Die Energie des Werkmeisters und des Heizers vor dem Motor, der aus einem unauffindbaren Grunde nicht zünden will.', 'Jammervolle Fabrik.']"
168,11. August,"['Nichts, nichts.', 'Um wieviel Zeit mich die Herausgabe des kleinen Buches bringt und wieviel schädliches, lächerliches Selbstbewußtsein beim Lesen alter Dinge im Hinblick auf das Veröffentlichen entsteht.', 'Nur das hält mich vom Schreiben ab.']"
169,14. August,"['Brief an Rowohlt.', 'Sehr geehrter Herr Rowohlt!', 'Hier lege ich die kleine Prosa vor, die Sie zu sehen wünschten; sieergibt wohl schon ein kleines Buch.']"
170,15. August,"['Nutzloser Tag.', 'Verschlafen, verlegen.', 'Marienfeier auf dem Altstädter Ring.', 'Der Mann mit einer Stimme wie aus einem Erdloch.']"
171,16. August,"['Nichts, weder im Bureau noch zu Hause.', 'Ein paar Seiten im Weimarer Tagebuch geschrieben.', 'Abends das Wimmern meiner armen Mutter wegen meines Nichtessens.']"
172,20. August,"['Die kleinen Jungen, beide in blauen Blusen, einer in heller, der andere kleinere in dunklerer, tragen über den Universitätsbauplatz vor meinem Fenster, der zum Teil wild mit Gras bewachsen ist, mit vollen Armen jeder ein Bündel trockenen Heus.']"
173,13. August,"['zu Brod kam, saß sie bei Tische und kam mir doch wie ein Dienstmädchen vor.', 'Ich war auch gar nicht neugierig darauf, wer sie war, sondern fand mich sofort mit ihr ab.', 'Knochiges leeres Gesicht, das seine Leere offen trug.', 'Freier Hals.', 'Überworfene Bluse.']"
174,21. August,"['Unaufhörlich Lenz gelesen und mir aus ihm – so steht es mit mir – Besinnung geholt.', 'Das Bild der Unzufriedenheit, das eine Straße darstellt, da jeder von dem Platz, auf dem er sich befindet, die Füße hebt, um wegzukommen.']"
175,30. August,"['Die ganze Zeit nichts gemacht.', 'Besuch des Onkels aus Spanien.', 'Vorigen Samstag rezitierte Werfel im Arco die ›Lebenslieder‹ und das ›Opfer‹.', 'Ein Ungeheuer!', 'Aber ich sah ihm in die Augen und hielt seinen Blick den ganzen Abend.']"
176,4. September,"['Der Onkel aus Spanien.', 'Der Schnitt seines Rockes.', 'Die Wirkung seiner Nähe.', 'Die Detaillierung seines Wesens.', '– Sein Schweben durch das Vorzimmer ins Klosett.', 'Gibt dabei auf eine Ansprache keine Antwort.']"
177,5. September,"['Ich frage ihn: Wie soll man das verbinden, daß du unzufrieden bist, wie du letzthin sagtest, und daß du dich in allem zurechtfindest, wie man immer wieder sieht (und wie es sich mit der solchem Zurechtfinden immer eigentümlichen Roheit zeigt,dachte ich).']"
178,8. September,"['Sonntag vormittag.', 'Gestern Brief an Dr. Schiller.', 'Nachmittag.', 'Wie die Mutter mit stärkster Stimme nebenan unter einer Menge von Frauenzimmern mit kleinen Kindern spielt und mich aus der Wohnung treibt.', 'Nicht weinen!', 'Nicht weinen!', 'usw.', 'Das gehört ihm!', 'Das gehört ihm!']"
179,11. September,"['Vorvorgestern abend mit Utitz.', 'Ein Traum: Ich befand mich auf einer aus Quadern weit ins Meer hineingebauten Landzunge.', 'Irgend jemand oder mehrere Leute waren mit mir, aber das Bewußtsein meiner selbst war so stark, daß ich von ihnen kaum mehr wußte, als daß ich zu ihnen sprach.']"
180,12. September,"['Abends Dr. L. bei uns.', 'Wieder ein Palästinafahrer.', 'Macht die Advokatursprüfung ein Jahr vor Ablauf seiner Konzipientenpraxis und fährt mit zwölfhundert Kronen (in vierzehn Tagen) nach Palästina.', 'Würde eine Stelle beim Palästinaamt suchen.']"
181,15. September,"['Verlobung meiner Schwester Valli.', 'Aus dem Grundeder Ermattungsteigen wirmit neuen Kräften,Dunkle Herren,welche warten,bis die Kindersich entkräften.', 'Liebe zwischen Bruder und Schwester – die Wiederholung der Liebe zwischen Mutter und Vater.', 'Die Vorahnung des einzigen Biographen.']"
182,18. September,"['Die gestrigen Geschichten des H. im Bureau.', 'Der Steinklopfer, der ihm auf der Landstraße einen Frosch abbettelte, ihn bei den Füßen festhielt, und mit dreimaligem Beißen zuerst das Köpfchen, dann den Rumpf und endlich die Füße hinunterschlang.']"
183,19. September,"['Kontrollor P. erzählt von der Reise, die er als dreizehnjähriger Junge mit siebzig Kreuzern in der Tasche, in Begleitung eines Schulkameraden ausführte.']"
184,20. September,"['Briefe an Löwy und Fräulein Taussig gestern, an Fräulein B. und Max heute.Es folgt die vollständige Niederschrift der Erzählung ›Das Urteil‹.']"
185,23. September,"['Diese Geschichte ›Das Urteil‹ habe ich in der Nacht vom 22. bis 23. von zehn Uhr abends bis sechs Uhr früh in einem Zug geschrieben.', 'Die vom Sitzen steif gewordenen Beine konnte ich kaum unter dem Schreibtisch hervorziehn.']"
186,25. September,"['Vom Schreiben mich mit Gewalt zurückgehalten.', 'Mich im Bett gewälzt.', 'Den Blutandrang zum Kopf und das nutzlose Vorüberfließen.', 'Was für Schädlichkeiten!']"
187,12. Februar,"['Ich habe bei der Beschreibung des Freundes in der Fremde viel an Steuer gedacht.', 'Als ich nun zufällig, etwa ein Vierteljahr nach dieser Geschichte, mit ihm zusammenkam, erzählte er mir, daß er sich vor etwa einem Vierteljahr verlobt habe.']"
188,28. Februar,[]
189,2. Mai,"['Es ist sehr notwendig geworden, wieder ein Tagebuch zu führen.', 'Mein unsicherer Kopf, F., der Verfall im Bureau, die körperliche Unmöglichkeit, zu schreiben, und das innere Bedürfnis danach.']"
190,3. Mai,"['Die schreckliche Unsicherheit meiner innern Existenz.', 'Wie ich die Weste aufknöpfe, um dem Herrn B. meinen Ausschlag zu zeigen.', 'Wie ich ihn in ein Nebenzimmer winke.']"
191,4. Mai,"['Immerfort die Vorstellung eines breiten Selchermessers, das eiligst und mit mechanischer Regelmäßigkeit von der Seite her in mich hineinfährt und ganz dünne Querschnitte losschneidet, die bei der schnellen Arbeit fast eingerollt davonfliegen.']"
192,24. Mai,"['Spaziergang mit Pick.', 'Übermut, weil ich den ›Heizer‹ für so gut hielt.', 'Abends las ich ihn den Eltern vor, einen besseren Kritiker als mich während des Vorlesens vor dem höchst widerwillig zuhörenden Vater gibt es nicht.', 'Viele flache Stellen vor offenbar unzugänglichen Tiefen.']"
193,5. Juni,"['Die innern Vorteile, welche mittelmäßige literarische Arbeiten daraus ziehen, daß ihre Verfasser noch am Leben und hinter ihnen her sind.', 'Der eigentliche Sinn des Veraltens.', 'Löwy, Geschichte von der Grenzüberschreitung.']"
194,21. Juni,"['Die Angst, die ich nach allen Seiten hin ausstehe.', 'Die Untersuchung beim Doktor, wie er gleich gegen mich vordringt, ich mich förmlich aushöhle und er in mir, verachtet und unwiderlegt, seine leeren Reden hält.', 'Die ungeheure Welt, die ich im Kopfe habe.']"
195,1. Juli,"['Der Wunsch nach besinnungsloser Einsamkeit.', 'Nur mir gegenübergestellt sein.', 'Vielleicht werde ich es in Riva haben.', 'Vorvorgestern mit Weiß, Verfasser der ›Galeere‹.Der hochbegabte Erzähler und Dramatiker Ernst Weiß, der Kafka später recht nahestand.']"
196,2. Juli,"['Geschluchzt über dem Prozeßbericht einer dreiundzwanzigjährigen Marie Abraham, die ihr fast dreiviertel Jahre altes Kind Barbara wegen Not und Hunger erwürgte, mit einer Männerkrawatte, die ihr als Strumpfband diente und die sie abband.', 'Ganz schematische Geschichte.']"
197,3. Juli,"['Die Erweiterung und Erhöhung der Existenz durch eine Heirat.', 'Predigtspruch.', 'Aber ich ahne es fast.', 'Wenn ich etwas sage, verliert es sofort und endgültig die Wichtigkeit, wenn ich es aufschreibe, verliert es sie auch immer, gewinnt aber manchmal eine neue.']"
198,19. Juli,"['Aus einem Hause traten vier bewaffnete Männer.', 'Jeder hielt vor sich aufrecht eine Hellebarde.', 'Hie und da wandte einer sein Gesicht zurück, um zu sehen, ob der schon komme, um dessentwillen sie hier standen.', 'Es war früh am Morgen, die Gasse war ganz leer.', 'Was wollt ihr also?']"
199,20. Juli,"['Unten auf dem Flusse lagen mehrere Boote, Fischer hatten ihre Angeln ausgeworfen, es war ein trüber Tag.', 'Am Quaigeländer lehnten einige Burschen mit verschränkten Beinen.', 'Als man zur Feier ihrer Abreise aufstand und die Champagnergläser hob, war schon Dämmerung.']"
200,21. Juli,"['Nicht verzweifeln, auch darüber nicht, daß du nicht verzweifelst.', 'Wenn schon alles zu Ende scheint, kommen doch noch neue Kräfte angerückt, das bedeutet eben, daß du lebst.', 'Kommen sie nicht, dann ist hier alles zu Ende, aber endgültig.', 'Ich kann nicht schlafen.']"
201,23. Juli,"['Mit Felix in Rostock.', 'Die geplatzte Sexualität der Frauen.', 'Ihre natürliche Unreinheit.', 'Das für mich sinnlose Spiel mit dem kleinen Lenchen.']"
202,13. August,"['Vielleicht ist nun alles zu Ende und mein gestriger Brief der letzte.', 'Es wäre unbedingt das Richtige.', 'Was ich leiden werde, was sie leiden wird – es ist nicht zu vergleichen mit dem gemeinsamen Leid, das entstehen würde.']"
203,14. August,"['Es ist das Gegenteil eingetroffen.', 'Es kamen drei Briefe.', 'Dem letzten konnte ich nicht widerstehn.', 'Ich habe sie lieb, soweit ich dessen fähig bin, aber die Liebe liegt zum Ersticken begraben unter Angst und Selbstvorwürfen.Folgerungen aus dem ›Urteil‹ für meinen Fall.']"
204,15. August,"['Qualen im Bett gegen Morgen.', 'Einzige Lösung im Sprung aus dem Fenster gesehn.', 'Die Mutter kam zum Bett und fragte, ob ich den Brief abgeschickt habe und ob es mein alter Text gewesen sei.', 'Ich sagte, es wäre der alte Text, nur noch verschärfter.', 'Sie sagte, sie verstehe mich nicht.']"
205,21. August,"['Ich habe heute Kierkegaard ›Buch des Richters‹ bekommen.', 'Wie ich es ahnte, ist sein Fall trotz wesentlicher Unterschiede dem meinen sehr ähnlich, zumindest liegt er auf der gleichenSeite der Welt.', 'Er bestätigt mich wie ein Freund.']"
206,30. August,"['Wo finde ich Rettung?', 'Wieviel Unwahrheiten, von denen ich gar nicht mehr wußte, werden mit heraufgeschwemmt.', 'Wenn die wirkliche Verbindung von ihnen ebenso durchzogen würde wie der wirkliche Abschied, dann habe ich sicher recht getan.']"
207,14. Oktober,"['Die kleine Gasse begann mit der Mauer eines Kirchhofes auf der einen und einem niedrigen Hause mit einem Balkon auf der andern Seite.', 'In dem Hause wohnte der pensionierte Beamte Friedrich Munch und seine Schwester Elisabeth.', 'Ein Trupp Pferde brach aus der Umzäunung.']"
208,15. Oktober,"['Ich habe mich vielleicht wieder aufgefangen, bin wieder vielleicht im geheimen einen kürzeren Weg gelaufen und halte mich, der ich im Alleinsein schon verzweifle, wieder an.', 'Aber die Kopfschmerzen, die Schlaflosigkeit!']"
209,20. Oktober,"['Die unausdenkbare Traurigkeit am Morgen.', 'Abends Jacobsohn ›Der Fall Jacobsohn‹ gelesen.', 'Diese Kraft zu leben, sich zu entscheiden, den Fuß mit Lust auf den richtigen Ort zu setzen.', 'Er sitzt in sich, wie ein meisterhafter Ruderer in seinem Boot und in jedem Boot sitzen würde.']"
210,21. Oktober,"['Verlorener Tag.', 'Besuch der Ringhofferschen Fabrik, Seminar Ehrenfels, bei Weltsch, Nachtmahl, Spaziergang, jetzt zehn Uhr hier.', 'Ich denke immerfort an den Schwarzkäfer,›Die Verwandlung‹.']"
211,22. Oktober,"['Zu spät.', 'Die Süßigkeit der Trauer und der Liebe.', 'Von ihr angelächelt werden im Boot.', 'Das war das Allerschönste.', 'Immer nur das Verlangen, zu sterben und das Sich-noch-Halten, das allein ist Liebe.', 'Gestrige Beobachtung.']"
212,26. Oktober,"['Die Familie saß beim Abendessen.', 'Durch die vorhanglosen Fenster sah man in die tropische Nacht.', '»Wer bin ich denn?« fuhr ich mich an.', 'Ich erhob mich von dem Kanapee, auf dem ich mit hochgezogenen Knien gelegen war und setzte mich aufrecht.']"
213,6. November,"['Woher die plötzliche Zuversicht?', 'Bliebe sie doch!', 'Könnte ich so ein- und ausgehn durch alle Türen als ein halbwegs aufrechter Mensch.', 'Nur weiß ich nicht, ob ich das will.']"
214,17. November,[]
215,18. November,"['Ich werde wieder schreiben, aber wie viele Zweifel habe ich inzwischen an meinem Schreiben gehabt.']"
216,19. November,['Mich ergreift das Lesen des Tagebuchs.']
217,20. November,"['Im Kino gewesen.', 'Geweint.', '›Lolotte‹.', 'Der gute Pfarrer.', 'Das kleine Fahrrad.', 'Die Versöhnung der Eltern.', 'Maßlose Unterhaltung.', 'Vorher trauriger Film ›Das Unglück im Dock‹, nachher lustiger ›Endlich allein‹.']"
218,21. November,"['Traum: Das französische Ministerium, vier Männer, sitzt um einen Tisch.', 'Es findet eine Beratung statt.']"
219,24. November,"['Vorgestern abend bei Max.', 'Er wird immer fremder, mir war er es schon oft, nun werde ich es auch ihm.', 'Gestern abend einfach ins Bett gelegt.']"
220,27. November,"['Ich muß aufhören, ohne geradezu abgeschüttelt zu sein.', 'Ich fühle auch keine Gefahr, daß ich mich verlieren könnte, immerhin fühle ich mich hilflos und außenstehend.', 'Die Festigkeit aber, die das geringste Schreiben mir verursacht, ist zweifellos und wunderbar.']"
221,4. Dezember,"['Von außen gesehn ist es schrecklich, erwachsen, aber jung zu sterben oder gar sich zu töten.']"
222,5. Dezember,"['Wie ich gegen meine Mutter wüte!', 'Ich muß nur mir ihr zu reden anfangen, schon bin ich gereizt, schreie fast.']"
223,8. Dezember,"[""Konstruktionen in Weiß' Roman."", 'Die Kraft, sie zu beseitigen, die Pflicht, das zu tun.', 'Ich leugne fast die Erfahrungen.', 'Ich will Ruhe, Schritt für Schritt, oder Lauf, aber nicht ausgerechnete Sprünge von Heuschrecken.']"
224,9. Dezember,"[""Weiß' ›Galeere‹."", 'Schwächung der Wirkung, wenn der Ablauf der Geschichte beginnt.', 'Die Welt ist überwunden, und wir haben mit offenen Augen zugesehn.', 'Also können wir uns ruhig umdrehn und weiterleben.', 'Haß gegenüber aktiver Selbstbeobachtung.']"
225,10. Dezember,['Die Entdeckungen haben sich dem Menschen aufgedrängt.']
226,11. Dezember,"['In der Toynbeehalle den Anfang von ›Michael Kohlhaas‹ gelesen.', 'Ganz und gar mißlungen.', 'Schlecht ausgewählt, schlecht vorgetragen, schließlich sinnlos im Text herumgeschwommen.', 'Musterhafte Zuhörerschaft.', 'Ganz kleine Jungen in der ersten Reihe.']"
227,12. Dezember,['Und früh bin ich verhältnismäßig ganz frisch aufgestanden.']
228,11. Dezember,"[') hat Kafka öfters mit so viel Humor erzählt, daß unter uns Freunden die Worte des kleinen Jungen sprichwörtlich wurden.']"
229,12. Dezember,['Gestern lange nicht eingeschlafen.']
230,14. Dezember,"['Vortrag Beermann.Der bekannte Journalist Arnold Höllriegel, Reiseschriftsteller großen Stils.Nichts, aber mit einer hie und da ansteckenden Selbstzufriedenheit vorgetragen.', 'Mädchenhaftes Gesicht mit Kropf.']"
231,15. Dezember,"['Briefe an Dr. Weiß und Onkel Alfred.', 'Kein Telegramm bekommen.', '›Wir Jungen von 1870/71‹ gelesen.', 'Wieder von den Siegen und begeisterten Szenen mit unterdrücktem Schluchzen gelesen.', 'Vater sein und ruhig mit seinem Sohn reden.']"
232,16. Dezember,[]
233,17. Dezember,"['Brief an W. mit dem Auftrag.', '»Überfließend sein und doch nur ein Topf auf einem kalten Herd.« Vortrag Bergmann ›Moses und die Gegenwart‹.', 'Reiner Eindruck.', '– Ich habe jedenfalls damit nichts zu tun.']"
234,19. Dezember,"['Brief von F. Schöner Morgen, Wärme im Blut.']"
235,20. Dezember,"['Kein Brief.', 'Die Wirkung eines friedlichen Gesichts, einer ruhigen Rede, besonders von einem fremden, noch nicht durchschauten Menschen.', 'Die Stimme Gottes aus einem menschlichen Mund.', 'Ein alter Mann ging an einem Winterabend im Nebel durch die Gassen.', 'Es war eiskalt.']"
236,2. Januar,['Mit Dr. Weiß viel Zeit gut verbracht.']
237,4. Januar,"['Wir hatten eine Mulde im Sand ausgegraben, in der wir uns ganz wohl befanden.', 'In der Nacht rollten wir uns im Innern der Mulde zusammen, der Vater deckte sie mit Baumstämmen und darüber geworfenem Strauchwerk zu, und wir waren vor Stürmen und Tieren möglichst gesichert.']"
238,5. Januar,"['Nachmittag.', 'Goethes Vater ist in Verblödung gestorben.', 'Zur Zeit seiner letzten Krankheit arbeitete Goethe an der ›Iphigenie‹.', '»Schaff das Mensch nach Hause, es ist besoffen«, sagt irgendein Hofbeamter zu Goethe über Christiane.']"
239,6. Januar,"['Dilthey: ›Das Erlebnis und die Dichtung‹.', 'Liebe zur Menschheit, höchste Achtung vor allen von ihr ausgebildeten Formen, ein ruhiges Zurückstehn auf dem geeignetsten Beobachtungsplatz.']"
240,8. Januar,"['Vorlesung Fantl.', '›Goldhaupt‹.Drama von Paul Claudel.', 'Auch Fantl gehörte zum Hellerauer Kreis wie Dalcroze, Paul Adler, Jakob Hegner u. a.»Er wirft den Feind wie eine Tonne.« Unsicherheit, Trockenheit, Ruhe, darin wird alles vorübergehn.', 'Was habe ich mit Juden gemeinsam?']"
241,12. Januar,"['Gestern: die Liebschaften Ottiliens, die jungen Engländer.', '– Tolstois Verlobung, klarer Eindruck eines zarten, stürmischen, sich bezwingenden, ahnungsvollen, jungen Menschen.', 'Schön gekleidet, dunkel und dunkelblau.', 'Das Mädchen im Kaffeehaus.']"
242,19. Januar,"['Angst im Bureau abwechselnd mit Selbstbewußtsein.', 'Sonst zuversichtlicher.', 'Großer Widerwillen vor ›Verwandlung‹.', 'Unlesbares Ende.', 'Unvollkommen fast bis in den Grund.', 'Es wäreviel besser geworden, wenn ich damals nicht durch die Geschäftsreise gestört worden wäre.']"
243,23. Januar,[]
244,24. Januar,"['Napoleonische Zeit: Wie sich die Feste drängten, alle hatten Eile, »die Freuden der kurzen Friedenszeiten auszukosten«.', '»Andererseits übten die Frauen auf sie ihren Einfluß wie im Fluge aus, sie hatten wirklich keine Zeit zu verlieren.']"
245,26. Januar,"['Kann nicht in der Thürheim lesen, die im übrigen mein Vergnügen der letzten Tage ausmacht.', 'Brief an Fräulein Bl.', 'jetzt auf der Bahn aufgegeben.', 'Wie es mich hält und gegen die Stirn drückt.', 'Kartenspielen der Eltern auf dem gleichen Tisch.']"
246,28. Januar,"['Vortrag über die Lourdes-Wunder.', 'Freisinniger Arzt, energisch, starkes Gebiß, Zähnefletschen, große Freude am Rollen der Worte.']"
247,2. Februar,['A. Dirnenhafter Brief der Freundin an die Braut.']
248,10. Februar,"['Elf Uhr nach einem Spaziergang.', 'Frischer als sonst.', 'Warum?', '1.', 'Max sagte, ich sei ruhig.', '2.', 'Felix wird heiraten (mit ihm böse gewesen).', '3.', 'Ich bleibe allein, falls mich nicht F. doch noch will.', '4.', 'Einladung von Frau X. und Überlegung, wie ich mich ihr vorstellen werde.']"
249,11. Februar,"['›Goethe‹ Dilthey, flüchtig durchgelesen, wilder Eindruck, nimmt mit fort, warum könnte man sich nicht anzünden und im Feuer zugrunde gehn.', 'Oder folgen, auch wenn man kein Gebot hört?', 'In der Mitte seines leeren Zimmers auf einem Sessel sitzen und das Parkett ansehn.']"
250,13. Februar,"['Gestern bei Frau X.', 'Ruhig und energisch, eine fehlerlos sich durchsetzende, sich einbohrende, mit Blicken, Händen und Füßen sich einarbeitende Energie.', 'Offenheit, offener Blick.']"
251,14. Februar,"['Wenn ich mich töten sollte, hat ganz gewiß niemand Schuld, selbst wenn zum Beispiel die offenbare nächste Veranlassung F.s Verhalten sein sollte.']"
252,15. Februar,"['Wie lang mir dieser Samstag und Sonntag im Rückblick scheint.', 'Ich habe mir gestern nachmittag die Haare scheren lassen, dann den Brief an Bl.']"
253,2. Mai 1913,"['den Kopf unsicher machte, ich kann mit diesem Anfang das Heft auch schließen, wenn ich statt »unsicher« ein schlimmeres Wort nehme.Hier endet das siebente Heft der Tagebücher, das mit der Eintragung vom']"
254,2. Mai 1913,['begann.']
255,16. Februar,"['Nutzloser Tag.', 'Die einzige Freude, die ich hatte, war die durch die gestrige Nacht begründete Hoffnung auf bessern Schlaf.']"
256,22. Februar,"['Vielleicht bin ich doch noch trotz des unausgeschlafenen, links oben vor Unruhe fast schmerzenden Kopfes einer ruhigen Anlage eines größern Ganzen fähig, in dem ich alles vergessen könnte und nur meines Guten mir bewußt würde.']"
257,23. Februar,"['Ich fahre.', 'Brief von Musil.Der Dichter Robert Musil lud Kafka zur Mitarbeit an einer literarischen Zeitschrift ein.', 'Details, auch über die hier erwähnte Reise, sind mir nicht erinnerlich.']"
258,9. März,"['Rense ging ein paar Schritte durch den halbdunklen Gang, öffnete die kleine Tapetentür des Eßzimmers und sagte zu der überlauten Gesellschaft, fast ohne hinzusehn: »Bitte seid ein wenig ruhig.', 'Ich habe einen Gast.']"
259,15. März,"['Hinter Dostojewskis Sarg wollten die Studenten seine Ketten tragen.', 'Er starb im Arbeiterviertel, im vierten Stock eines Mietshauses.', 'Gegen fünf Uhr früh, einmal im Winter, wurde dem Studenten durch das halbbekleidete Dienstmädchen ein Gast gemeldet.', '»Was denn?']"
260,17. März,"['Im Zimmer bei den Eltern gesessen, zwei Stunden lang in Zeitschriften geblättert, ab und zu nur vor mich hingesehn, im ganzen nur gewartet, bis es zehn Uhr wird und ich mich ins Bett legen kann.']"
261,27. März,"['Im ganzen nicht viel verschieden verbracht.', 'Haß beeilte sich auf das Schiff zu kommen, lief über die Landungsbrücke, kletterte auf ein Verdeck hinauf, setzte sich in einenWinkel, drückte die Hände gegen das Gesicht und kümmerte sich von jetzt an um niemanden mehr.']"
262,5. April,"['Wenn es möglich wäre, nach Berlin zu gehn, selbständig zu werden, von Tag zu Tag zu leben, auch zu hungern, aber seine ganze Kraft ausströmen zu lassen, statt hier zu sparen oder besser sich abzuwenden in das Nichts!', 'Wenn F. es wollte, mir beistehn würde!']"
263,8. April,"['Gestern unfähig, auch nur ein Wort zu schreiben.', 'Heute nicht besser.', 'Wer erlöst mich?', 'Und in mir das Gedränge, in der Tiefe, kaum zu sehn.', 'Ich bin wie ein lebendiges Gitterwerk, ein Gitter, das feststeht und fallen will.', 'Heute im Kaffeehaus mit Werfel.']"
264,6. Mai,"['Die Eltern scheinen eine schöne Wohnung für F. und mich gefunden zu haben, ich bin nutzlos einen schönen Nachmittag lang herumgestrichen.', 'Ob sie mich auch noch ins Grab legen werden, nach einem durch ihre Sorgfalt glücklichen Leben.']"
265,27. Mai,"['Mutter und Schwester in Berlin.', 'Ich werde mit dem Vater abends allein sein.', 'Ich glaube, er fürchtet sich, heraufzukommen.', 'Soll ich mit ihm Karten spielen?']"
266,28. Mai,"['Übermorgen fahre ich nach Berlin.', 'Trotz Schlaflosigkeit, Kopfschmerzen und Sorgen vielleicht in einem bessern Zustand als jemals.', 'Einmal brachte er ein Mädchen mit.', 'Während ich grüße und auf ihn nicht achte, springt er auf mich und reißt mich in die Höhe.']"
267,29. Mai,"['Morgen nach Berlin.', 'Ist es ein nervöser oder ein wirklicher verläßlicher Zusammenhalt, den ich fühle?', 'Wie wäre das!']"
268,6. Juni,"['Aus Berlin zurück.', 'War gebunden wie ein Verbrecher.', 'Hätte man mich mit wirklichen Ketten in einen Winkel gesetzt und Gendarmen vor mich gestellt und mich nur auf diese Weise zuschauen lassen, es wäre nicht ärger gewesen.']"
